Account Code,Account Name,Portal URL,Type,Address
U7JF8Q8V,Greta YYZ,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=U7JF8Q8V,Regular,"590 King St W, Toronto, ON"
UC9LFC8V,The Libertine,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=UC9LFC8V,Regular,"1307 Dundas St w, Toronto, ON"
UKNUE59Z,Haliburton Post House,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=UKNUE59Z,Regular,"1297 Kashagawigamog Lake Rd, Minden, ON"
UVPAYY9A,Merrill House,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=UVPAYY9A,Regular,"343 Main St E #343, Picton, ON"
UW7RZNV4,Death and Taxes,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=UW7RZNV4,Regular,"1154 Queen St W, Toronto ON M6J 1J5"
V5D732QQ,Architect Hair Design,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=V5D732QQ,Regular,"324 James Street N, Hamilton, ON"
V63YGLTL,Occhiolino Pastificio,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=V63YGLTL,Regular,"499 Bathurst St, Toronto, ON"
VCGYMDCF,King Street Trio Uptown,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=VCGYMDCF,Regular,"40 King St S, Waterloo, ON"
VEV56CQ8,Lucie,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=VEV56CQ8,Regular,"100 Yonge Street, Toronto, ON"
VJYC4NNL,Konrad Private Event,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=VJYC4NNL,Regular,"The Bentway, Toronto, ON"
VLY88JJW,Kee To Bala,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=VLY88JJW,Live Nation,"1012 Balla Falls Rd, Bala, ON"
VM7K7XF3,Minami,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=VM7K7XF3,Regular,"100-225 King St. West, Toronto, ON M5V 3M2"
VU8N9JNW,Westin Harbour Castle,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=VU8N9JNW,Regular,"1 Harbour Sq, Toronto, ON"
VWXWMCGP,Magnone's Italian Kitchen,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=VWXWMCGP,Regular,"108 Jozo Weider Blvd, Blue Mountains, ON"
W34SWXZF,aKin,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=W34SWXZF,Regular,"51 Colborne St, Toronto, ON"
W7HM2GHG,Elmhirst's Resort,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=W7HM2GHG,Regular,"1045 Settlers Line, Keene, ON"
WCQ3WJQG,Casa Paco,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=WCQ3WJQG,Regular,"50C Clinton St, Toronto, ON"
WEKFG4PY,The Springwood,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=WEKFG4PY,Regular,"1645 Dundas st E Unit #1, Whitby, ON"
WKACJP7C,The Avling Kitchen and Brewery,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=WKACJP7C,Regular,"1042 Queen Street East, Toronto, ON"
WKYW93MR,Stone Crock Inc.,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=WKYW93MR,Regular,"1396 king st north, St. Jacobs, ON"
WQLRAUAQ,Juna Restaurant,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=WQLRAUAQ,Regular,"9201 Hwy 118 Minden, ON K0M 1S0"
WRD237R7,Shinka Sushi Bar,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=WRD237R7,Regular,"2900 Sheffield Rd Suite 3, Ottawa, ON"
WTBGQP4N,Made In Canada Eatery & Whisky Pub,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=WTBGQP4N,Regular,"200 Falconbridge Road, Sudbury, ON"
WV5JK7RF,Stratos Pizza,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=WV5JK7RF,Regular,"20018 Loyalist Parkway. Consecon, ON K0K 1T0"
X4NN29RT,Another Bar,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=X4NN29RT,Regular,"926 Bloor St W, Toronto, ON"
X79QTBHH,555 Brewing Co.,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=X79QTBHH,Regular,"124 Picton Main St, Prince Edward, ON"
